,0
curve 1 at 0,-2.480638621595971
curve 2 at 0,0.0
curve 3 at 0,9.991000818999993e+24
curve 1 at 1,0.07938225821125704
curve 2 at 1,0.0
curve 3 at 1,9.911343066927302e+24
curve 1 at 2,2.5664194559090956
curve 2 at 2,0.0
curve 3 at 2,9.832241588539754e+24
curve 1 at 3,2.693902441493825
curve 2 at 3,0.0
curve 3 at 3,9.753693050832138e+24
curve 1 at 4,0.3446239459367541
curve 2 at 4,0.0
curve 3 at 4,9.675694137457772e+24
curve 1 at 5,-2.321500216199814
curve 2 at 5,0.0
curve 3 at 5,9.598241548661808e+24
curve 1 at 6,-2.8532477857090432
curve 2 at 6,0.0
curve 3 at 6,9.52133200121478e+24
curve 1 at 7,-0.7617324994637052
curve 2 at 7,0.0
curve 3 at 7,9.444962228346316e+24
curve 1 at 8,2.0301161338791602
curve 2 at 8,0.0
curve 3 at 8,9.369128979679068e+24
curve 1 at 9,2.955485356093752
curve 2 at 9,0.0
curve 3 at 9,9.293829021162835e+24
curve 1 at 10,1.1635949718347882
curve 2 at 10,0.0
curve 3 at 10,9.219059135008885e+24
curve 1 at 11,-1.6980992633359338
curve 2 at 11,0.0
curve 3 at 11,9.144816119624476e+24
curve 1 at 12,-2.998568866981577
curve 2 at 12,0.0
curve 3 at 12,9.071096789547582e+24
curve 1 at 13,-1.5421680829331885
curve 2 at 13,0.0
curve 3 at 13,8.9978979753818e+24
curve 1 at 14,1.3320949244914762
curve 2 at 14,0.0
curve 3 at 14,8.925216523731467e+24
curve 1 at 15,2.9816360016091688
curve 2 at 15,0.0
curve 3 at 15,8.853049297136974e+24
curve 1 at 16,1.8898746893663123
curve 2 at 16,0.0
curve 3 at 16,8.781393174010272e+24
curve 1 at 17,-0.9394286966762633
curve 2 at 17,0.0
curve 3 at 17,8.710245048570572e+24
curve 1 at 18,-2.9050256713920843
curve 2 at 18,0.0
curve 3 at 18,8.639601830780247e+24
curve 1 at 19,-2.1997554410423046
curve 2 at 19,0.0
curve 3 at 19,8.569460446280921e+24
curve 1 at 20,0.5279597971097966
curve 2 at 20,0.0
curve 3 at 20,8.499817836329763e+24
curve 1 at 21,2.7702712326105017
curve 2 at 21,0.0
curve 3 at 21,8.430670957735969e+24
